Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,clusters,PredictedStrength
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28.0,0,35.102974
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56.0,0,44.297264
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100.0,0,47.546482
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3.0,0,15.269415
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14.0,0,27.752605
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28.0,0,34.250164
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56.0,0,43.52901
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100.0,0,47.546482
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0,0,10.675435
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14.0,0,21.884659
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28.0,0,29.307663
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0,0,38.92572
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100.0,0,44.36943
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,0,10.058421
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14.0,0,24.81822
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28.0,0,26.459333
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,0,37.806576
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100.0,0,43.081192
250.0,0.0,95.69,187.42,5.53,956.86,861.17,3.0,0,10.277512
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14.0,0,23.325977
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28.0,0,27.121222
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56.0,0,38.530956
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100.0,0,43.283337
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3.0,0,13.241381
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14.0,0,30.380785
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28.0,0,34.03191
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56.0,0,41.52755
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100.0,0,43.914246
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3.0,0,12.849091
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,0,29.653158
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,0,34.55308
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56.0,0,41.627407
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0,0,43.580677
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3.0,0,13.330846
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14.0,0,23.266073
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28.0,0,31.228739
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56.0,0,36.302483
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100.0,0,43.33266
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3.0,0,14.871973
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,0,23.343918
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28.0,0,28.21398
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56.0,0,39.867935
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100.0,0,44.25718
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3.0,0,12.510415
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14.0,0,24.891737
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,28.0,0,31.021955
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56.0,0,44.721153
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100.0,0,48.849575
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3.0,0,12.467315
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0,0,24.80858
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0,0,30.938799
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56.0,0,44.637997
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100.0,0,48.849575
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0,0,14.236254
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0,0,21.333723
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28.0,0,27.421986
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56.0,0,39.586224
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100.0,0,40.39395
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3.0,0,17.650164
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14.0,0,34.39353
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28.0,0,40.2429
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56.0,0,47.495502
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,0,48.09244
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3.0,0,13.536748
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14.0,0,31.20221
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28.0,0,37.14853
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56.0,0,40.59041
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0,0,42.436035
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3.0,0,22.478024
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14.0,0,38.503033
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28.0,0,39.143208
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,0,44.84316
290.35,0.0,96.18,168.08,9.41,961.18,865.0,100.0,0,48.34217
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0,0,21.882172
277.05,0.0,97.39,160.6,11.83,973.9,875.61,14.0,0,37.990654
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28.0,0,45.212402
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,0,52.23467
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100.0,0,54.551704
