Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.58737372
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852752
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698
190.34,0,125.18,166.61,9.88,1079,798.9,56,31.715896
250,0,95.69,191.84,5.33,948.9,857.2,56,39.64487
213.5,0,174.24,159.21,11.66,1043.6,771.9,56,51.25564584
194.68,0,100.52,170.17,7.48,998,901.8,56,43.38872468
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
165,0.02,143.57,163.81,0,1005.6,900.9,100,37.9556538
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.0201848
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100,49.99390476
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,53.65502232
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,37.6798634
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.06129356
167,75.4,167,164.03,7.91,1007.3,770.1,100,56.8128224
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688
190.34,0,125.18,166.61,9.88,1079,798.9,100,33.56369168
250,0,95.69,191.84,5.33,948.9,857.2,100,41.1617172
213.5,0,174.24,159.21,11.66,1043.6,771.9,100,52.95865156
194.68,0,100.52,170.17,7.48,998,901.8,100,44.27814872
251.37,0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748
446,24,79,162,11.61,967,712,28,57.02655996
446,24,79,162,11.64,967,712,28,44.42293868
446,24,79,162,11.64,967,712,28,51.021224
446,24,79,162,10.3,967,712,28,53.38612668
446,24,79,162,11.61,967,712,3,35.36322404
446,24,79,162,11.64,967,712,3,25.02108404
446,24,79,162,11.64,967,712,3,23.34565736
446,24,79,162,11.61,967,712,7,52.00717468
446,24,79,162,11.64,967,712,7,38.01770664
446,24,79,162,11.64,967,712,7,39.300132
446,24,79,162,11.61,967,712,56,61.06688932
446,24,79,162,11.64,967,712,56,56.14403068
446,24,79,162,11.64,967,712,56,55.25460664
446,24,79,162,10.3,967,712,56,54.76507868
387,20,94,157,14.32,938,845,28,50.23522136
387,20,94,157,13.93,938,845,28,46.68441996
387,20,94,157,11.61,938,845,28,46.68441996
387,20,94,157,14.32,938,845,3,22.752708
387,20,94,157,13.93,938,845,3,25.510612
387,20,94,157,11.61,938,845,3,34.77027468
387,20,94,157,14.32,938,845,7,36.83870268
387,20,94,157,13.93,938,845,7,45.89841732
387,20,94,157,11.61,938,845,7,41.66503468
387,20,94,157,14.32,938,845,56,56.33708396
387,20,94,157,13.93,938,845,56,47.96684532
387,20,94,157,11.61,938,845,56,61.45989064
355,19,97,145,13.13,967,871,28,44.02993736
355,19,97,145,12.25,967,871,28,55.45455468
491,26,123,210,3.93,882,699,28,55.55108132
491,26,123,201,3.93,822,699,28,57.915984
491,26,123,210,3.93,882,699,3,25.60910857
491,26,123,210,3.93,882,699,7,33.48883428
491,26,123,210,3.93,882,699,56,59.59042572
491,26,123,201,3.93,822,699,3,29.54897143
491,26,123,201,3.93,822,699,7,37.92118
491,26,123,201,3.93,822,699,56,61.85584685
424,22,132,178,8.48,822,750,28,62.05284
424,22,132,178,8.48,882,750,3,32.01138572
424,22,132,168,8.92,822,750,28,72.09850532
424,22,132,178,8.48,822,750,7,39.00464228
424,22,132,178,8.48,822,750,56,65.69721315
424,22,132,168,8.92,822,750,3,32.10988228
424,22,132,168,8.92,822,750,7,40.28509772
424,22,132,168,8.92,822,750,56,74.36491146
