Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age
251.37,0,118.27,188.45,5.75,1028.4,757.73,3
251.37,0,118.27,188.45,5.75,1028.4,757.73,14
251.37,0,118.27,188.45,5.75,1028.4,757.73,28
251.37,0,118.27,188.45,5.75,1028.4,757.73,56
251.37,0,118.27,188.45,5.75,1028.4,757.73,100
251.37,0,118.27,188.45,6.35,1028.4,757.73,3
251.37,0,118.27,188.45,6.35,1028.4,757.73,14
251.37,0,118.27,188.45,6.35,1028.4,757.73,28
251.37,0,118.27,188.45,6.35,1028.4,757.73,56
251.37,0,118.27,188.45,6.35,1028.4,757.73,100
181.38,0,167.01,169.59,7.56,1055.6,777.8,3
181.38,0,167.01,169.59,7.56,1055.6,777.8,14
181.38,0,167.01,169.59,7.56,1055.6,777.8,28
181.38,0,167.01,169.59,7.56,1055.6,777.8,56
181.38,0,167.01,169.59,7.56,1055.6,777.8,100
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100
290.35,0,96.18,168.08,9.41,961.18,865,3
290.35,0,96.18,168.08,9.41,961.18,865,14
290.35,0,96.18,168.08,9.41,961.18,865,28
290.35,0,96.18,168.08,9.41,961.18,865,56
290.35,0,96.18,168.08,9.41,961.18,865,100
277.05,0,97.39,160.6,11.83,973.9,875.61,3
277.05,0,97.39,160.6,11.83,973.9,875.61,14
277.05,0,97.39,160.6,11.83,973.9,875.61,28
277.05,0,97.39,160.6,11.83,973.9,875.61,56
277.05,0,97.39,160.6,11.83,973.9,875.61,100
